mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,emotion
-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,-2.6678064,0.95902014,1.6281663,-2.736689,0.25424105,2.6753771,-1.7611657,-1.8864743,-0.97562,-0.37943736,0.40027285,-3.0440438,-2.901258,-0.10924806,-0.86356527,-3.3332694,-1.9784652,0.4570815,-1.3991096,-2.9268556,0.013956722,-0.49073377,-0.57090545,0.040399242,-1.2072176,-1.5949816,-1.4364874,neutral
-719.1283,70.20157,1.168397,13.122543,7.83695,14.411292,-4.1113596,4.468973,-3.5393667,-3.6586072,-7.648504,-1.4770775,3.031821,-2.4618676,0.5947344,0.9784503,-2.8361645,0.073815525,1.759312,-2.0631857,-2.3056278,-0.66225374,-0.9478812,0.49746618,-1.6925769,-3.4717655,-0.2692754,-0.77677816,-4.0910745,-1.2800432,0.2754601,-2.5214698,-2.9876728,0.4097349,-0.48418432,-1.3983909,0.25520346,-0.9849785,-2.0930607,-1.040791,neutral
-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.8781028,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622657,1.8734846,-2.912889,0.52569175,1.3727965,-2.3648312,-2.0204954,1.6025525,-1.5617238,-3.720789,-1.8949177,0.3738067,1.2185684,-2.7771025,-2.725419,-0.8127443,-0.5070557,-2.857712,-1.1507949,-0.002119232,-0.90915155,-3.0459557,-0.37329432,-0.8491452,-0.9221047,-0.17031977,-1.1444225,-1.7256124,-1.4505606,neutral
-710.9753,67.56489,5.7822404,13.230726,6.190846,12.628252,-1.6751692,5.6574936,-4.9506335,-3.4775455,-7.416558,-1.9370043,2.2715254,-0.6112552,0.17463188,1.3954357,-2.3914657,-0.66533786,1.7429572,-0.49506843,-3.0143745,-0.97913355,0.5346141,0.26846278,-2.365178,-2.670341,-1.3975948,-0.043934073,-2.1590412,-1.5748216,-0.40380615,-1.3296506,-2.5134048,-0.19027606,-0.64594895,-0.5539187,0.45929867,-1.5800847,-1.6476822,-1.5095106,neutral
-759.92175,75.78352,6.0236053,14.557394,6.4541883,14.631508,-3.0045512,4.6209702,-5.200015,-0.70743,-7.7902875,-3.5649483,2.18097,-1.8324066,-0.3502733,0.82926047,-2.523554,-0.6612525,2.9179914,-1.9391867,-3.0332396,-0.29330757,-0.24490725,-0.54066634,-2.9568312,-2.1041048,-1.4002062,-0.9253891,-3.722793,-1.9921645,0.20646289,-2.1885817,-2.8355007,0.46374577,-1.0191672,-1.4114406,0.35043326,-1.5198916,-1.2501122,-0.6138516,calm
-735.0066,79.09305,8.141051,11.413549,5.174124,15.393285,-2.7520716,2.9645836,-5.388972,-1.6918324,-5.8528347,-4.0432878,3.0046408,-1.0366162,-0.06775652,0.08821334,-2.2095816,-1.4559768,2.5682304,-1.5963124,-2.6786845,-1.4108758,0.11890578,-0.1272634,-2.8479033,-1.7715893,-1.8862904,-0.79116225,-3.215491,-2.1809146,0.24123263,-2.247445,-2.2200978,-0.24941187,-0.97588956,-0.95585364,-0.2590439,-2.1528797,-1.9730748,-1.6481354,calm
-733.5249,81.58986,4.8633575,14.423686,5.2676888,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188,-1.6680715,1.9813907,0.965025,-2.9701674,0.92509615,2.6618714,-2.686702,-4.0897026,-1.1427792,-0.041476034,0.63960415,-4.437098,-1.978665,-1.6683791,-0.12961586,-2.6481974,-1.7407796,-0.24314989,-1.4994992,-3.4421825,1.0794884,-1.8406905,-1.1412957,-0.54689205,-1.8944058,-1.67383,-0.97683465,calm
-728.363,82.324936,7.5005765,12.542464,6.788125,14.805659,-2.9095802,6.9378386,-4.84434,-1.8469232,-5.68771,-3.6666534,2.2403514,-1.4234434,1.2192734,1.1254897,-2.724321,0.41269568,2.7799659,-1.6963865,-3.6588929,-0.6342616,-0.37053522,0.9723827,-4.1021852,-2.825219,-1.5755265,-0.56038314,-1.8017431,-1.60203,-0.6359764,-0.91452146,-2.7520134,0.36075655,-1.9869834,-1.1664826,-0.42687818,-2.1698256,-1.7610769,-0.407193,calm
-771.62524,83.32755,9.759607,14.268046,6.201726,16.020977,-2.8468983,4.47025,-5.536262,0.8787948,-5.3482485,-3.029556,2.3405733,0.6652834,1.3866221,-0.02284267,-2.4285932,0.2481956,2.2790198,-1.0718266,-0.17045929,-2.293886,0.008647349,2.5945902,-3.9040556,-2.8804717,-0.22999476,-0.6346881,-3.327101,-1.5811126,0.17730476,-1.4821044,-1.4364228,0.69877553,-1.6221272,-0.7385669,-0.63427764,-1.8994281,-2.5306487,-2.0102646,calm
-733.9896,82.99157,3.796794,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.840987,-1.1772105,-5.7287865,-4.109694,3.882382,-1.0434911,1.0040572,-1.4276097,-2.603616,-0.43864205,1.8452337,-2.6793857,-1.474066,-1.8256137,-0.25426897,1.7353026,-4.238995,-2.1476488,-0.5318237,-0.10767622,-3.4672792,-1.6796228,-0.3943631,-2.1952236,-2.358054,-0.2694985,-0.910776,-0.97108704,-1.1833144,-2.2724655,-2.1504445,-2.1373334,calm
